Date;IPI;IPC;ICA;CE
01/01/2008;112.5174014;95.64;182.57;1242954
01/02/2008;104.153329;97.06;186.05;1247765
01/03/2008;111.5444268;97.45;182.75;1252962
01/04/2008;104.963139;97.78;184.22;1284232
01/05/2008;106.762227;97.68;186.7;1314413
01/06/2008;89.63792115;100.46;185.54;1322070
01/07/2008;95.88538948;101.28;198.52;1356328
01/08/2008;94.80507723;102.62;187.17;1366937
01/09/2008;84.01740216;103.14;165.8;1445670
01/10/2008;86.62950349;103.46;178.69;1403108
01/11/2008;96.3714539;101.72;172.03;1450422
01/12/2008;101.5566571;101.73;194.1;1529019
01/01/2009;105.3494433;98.51;142.92;1428094
01/02/2009;104.7122858;98.44;147.5;1432637
01/03/2009;118.9292512;98.4;159;1408656
01/04/2009;110.6939701;97.8;146.83;1473040.2
01/05/2009;112.6449907;96.76;134.94;1473040.2
01/06/2009;104.5656873;96.11;144.42;1471479
01/07/2009;102.302938;96.62;161.38;1470680
01/08/2009;96.39570737;97.84;141.94;1445068
01/09/2009;95.86148761;98;141.3;1461432
01/10/2009;103.3084561;99.12;152.62;1450273
01/11/2009;95.9651777;98.32;155.57;1481640.8
01/12/2009;123.9822938;97.11;183.3;1488365.9
01/01/2010;121.353725;97.85;156.7;1428094
01/02/2010;102.1782729;97.8;150.01;1507101
01/03/2010;132.2930741;97.68;159;1504253
01/04/2010;113.3043115;96.76;171.08;1507519
01/05/2010;120.7681967;96.37;165.38;1509810
01/06/2010;117.3697748;97.4;171.13;1536212
01/07/2010;107.4873141;98.86;191.87;1530769
01/08/2010;96.3374644;100.02;180.85;1544711.6
01/09/2010;82.68858455;100.93;169.41;1579190.9
01/10/2010;106.2276938;101.39;169.29;1586476.7
01/11/2010;96.79567751;101.1;178.39;1596843.1
01/12/2010;120.852475;101.28;207.82;1638767
01/01/2011;121.4596212;101.8;175.31;1620634
01/02/2011;110.2583187;101.39;192.38;1637725
01/03/2011;139.717734;100.83;207.45;1690893.2
01/04/2011;125.842545;100.88;199.54;1710879
01/05/2011;132.2955105;101.2;206.63;1755133
01/06/2011;120.0554316;101.57;201.46;1801508.8
01/07/2011;116.1623306;101.98;185.1;1785757.5
01/08/2011;104.9919384;102.67;191.23;1818867
01/09/2011;96.84532317;103.56;195.43;1878946.2
01/10/2011;116.8260083;104.14;193.56;1886675.5
01/11/2011;100.6424714;103.82;190.89;1901046
01/12/2011;118.7698682;104.05;210.19;1950028
01/01/2012;118.8576361;103.3;204.77;1928243
01/02/2012;120.2623014;103.56;181.63;1936565
01/03/2012;132.0067341;103.56;212.4;1966958.7
01/04/2012;120.7512297;102.99;178.51;1979652
01/05/2012;119.5095217;101.8;209.45;2021801
01/06/2012;128.3188688;101.75;201.29;2106265
01/07/2012;131.5199474;102.31;189.08;2112209
01/08/2012;97.52528985;103.8;193.14;2072445
01/09/2012;98.04123458;104.93;177.57;2120838
01/10/2012;101.2150159;106.14;195.53;2115409
01/11/2012;104.130834;105.88;192.18;2108888
01/12/2012;123.8490922;105.23;218.44;2140772
01/01/2013;114.4121316;104.05;210.37;2092912.3
01/02/2013;111.1685856;103.9;185.38;2090163.7
01/03/2013;120.4046379;103.4;218.01;2111634
01/04/2013;117.7351798;103.29;214.14;2154562
01/05/2013;117.669173;103.04;217.13;2160348
01/06/2013;99.63184223;102.46;221.53;2226325
01/07/2013;109.6625399;103.4;204.7;2256882
01/08/2013;105.8781783;105.1;189.76;2281584
01/09/2013;106.4435171;105.98;194.27;2316550
01/10/2013;99.65329751;107.49;215.12;2316550
01/11/2013;108.4496702;106.83;195.94;2328631
01/12/2013;119.9553197;105.15;219.49;2412391
01/01/2014;114.9352257;104.8;215.01;2342136
01/02/2014;115.3978971;103.37;193.45;2327571
01/03/2014;120.3555827;102.9;215.97;2342457.7
01/04/2014;119.4835594;102.23;226.41;2342457.7
01/05/2014;114.8653816;101.26;224.5;2437953
01/06/2014;99.72107736;101.32;214.06;2482040
01/07/2014;102.7757078;102;219.56;2434751
01/08/2014;94.03609006;103.88;195.79;2464429
01/09/2014;106.9639095;104.6;197.94;2474385
01/10/2014;93.30536661;105.4;216.6;2483637
01/11/2014;105.1171757;104.4;187.53;2512891
01/12/2014;117.126335;104.3;209.97;2562111
01/01/2015;125.2533874;102.3;174.51;2496691
01/02/2015;118.0227411;102.12;168.18;2533502
01/03/2015;131.7158045;101.55;194.28;2528512
01/04/2015;119.6073641;101.57;184.74;2568925
01/05/2015;126.3663172;101.9;168.67;2526823
01/06/2015;120.3934466;102.1;207.5;2573800
01/07/2015;106.9511828;103.3;187.83;2597313
01/08/2015;95.96526108;103.94;171.54;2636505
01/09/2015;98.51488378;105.4;171.42;2656862
01/10/2015;112.2008572;107.38;179.08;2703118
01/11/2015;105.3787358;106;173.96;2680861
01/12/2015;124.4335391;104.7;195.36;2729470
01/01/2016;126.3804717;103.84;178.16;2690345
01/02/2016;119.2589873;103.49;161.63;2711175
01/03/2016;130.425255;102.9;168.52;2707980
01/04/2016;125.9257907;102.3;160.39;2748063
01/05/2016;134.0246762;101.9;168.67;2772478
01/06/2016;127.6763461;102.6;175.8;2805863
01/07/2016;120.1316137;103.5;150.57;2841603
01/08/2016;121.7802671;105.24;160.24;2849250
01/09/2016;104.6994025;106.7;162.14;2902002
